depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.99999999999994,0.0,4.5,4.5,20.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,584.70632,0.0,-482.7694,0.0,-29517.2306,0.0
253.74999999999997,11.25,4.5,3.5,20.0,59.99999999999999,0.0,0.0,-0.4682,-0.0,-0.0042,-0.0,-0.0,-965.5388,0.0,-28551.6918,0.0
242.49999999999997,22.5,4.5,3.5,20.0,59.99999999999999,0.0,0.0,-0.6155,-0.0,-0.0083,-0.0,-0.0,-965.5388,0.0,-27586.153,0.0
231.24999999999997,33.75,4.5,3.5,20.0,59.99999999999999,0.0,0.0,-0.3785,-0.0,-0.0123,-0.0,-0.0,-965.5388,0.0,-26620.6142,0.0
219.99999999999997,45.0,4.5,4.5,20.0,59.99999999999999,0.0,0.0,0.0,-0.0,-0.0161,1279.19341,-0.0,-911.89775,0.0,-25708.71645,0.0
209.99999999999997,55.0,4.5,3.5,20.0,59.99999999999999,0.0,0.0,0.1542,0.0,-0.0193,-0.0,-0.0,-858.25671,0.0,-24850.45974,0.0
199.99999999999997,65.0,4.5,3.5,20.0,59.99999999999999,0.0,0.0,0.156,0.0,-0.0225,-0.0,-0.0,-858.25671,0.0,-23992.20303,0.0
189.99999999999997,75.0,4.5,4.5,20.0,60.00000000000001,0.0,9.113247312138087e-15,0.0,0.0,-0.0255,1190.66808,-0.0,-980.86481,0.0,-23011.33822,0.0
177.1428571428571,87.85714285714285,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.4798,-0.0,-0.0293,-0.0,-0.0,-1103.47291,0.0,-21907.86531,0.0
164.28571428571425,100.71428571428571,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.8715,-0.0,-0.0329,-0.0,-0.0,-1103.47291,0.0,-20804.39239,0.0
151.42857142857142,113.57142857142856,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,-0.0,-0.0363,886.11701,0.0,-1103.47291,0.0,-19700.91948,0.0
138.57142857142856,126.4285714285714,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,-0.0,-0.0395,293.49394,0.0,-1103.47291,0.0,-18597.44657,0.0
125.71428571428571,139.28571428571425,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.7717,-0.0,-0.0425,-0.0,-0.0,-1103.47291,0.0,-17493.97366,0.0
112.85714285714285,152.1428571428571,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.3066,-0.0,-0.0454,-0.0,-0.0,-1103.47291,0.0,-16390.50074,0.0
100.0,164.99999999999997,4.5,4.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,0.0,0.0,-0.0481,1853.06161,-0.0,-1088.1469,0.0,-15302.35384,0.0
87.5,177.49999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.3117,0.0,-0.0505,-0.0,-0.0,-1072.82089,0.0,-14229.53296,0.0
75.0,189.99999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-0.7738,0.0,-0.0528,-0.0,-0.0,-1072.82089,0.0,-13156.71207,0.0
62.5,202.49999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0549,78.05308,-0.0,-1072.82089,0.0,-12083.89118,0.0
50.0,214.99999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0568,841.33804,-0.0,-1072.82089,0.0,-11011.07029,0.0
37.5,227.49999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0585,269.78026,-0.0,-1072.82089,0.0,-9938.24941,0.0
25.0,239.99999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0601,422.64087,-0.0,-1072.82089,0.0,-8865.42852,0.0
12.5,252.49999999999997,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0615,382.43799,-0.0,-1072.82089,0.0,-7792.60763,0.0
0.0,264.99999999999994,4.5,3.5,20.0,59.99999999999999,0.0,2.0830279570601336e-14,-1.0,0.0,-0.0628,196.57624,0.0,-7792.60763,0.0,-7256.19719,0.0
