/Users/rob/Projects/Julia/BHAtp cases/cases/figure_03
WOB: 30, Incl: 30
Dalpha: 0.0
Errors (1): 13.862333719056842
Errors (100): 0.11012335508744152
Errors (1000): 0.010077893167717256
Errors (5000): 0.0007164189957843025
Errors (10000): 0.0004208758015744557
Errors (15000): 0.0002566770717113932
Errors (20000): 0.00015163915002361302
Errors (25000): 8.920000194253734e-5
Errors (30000): 5.26734620276014e-5
Errors (35000): 3.130670738173798e-5
Errors (40000): 1.8790696463734582e-5
Errors (45000): 1.1443202257266047e-5
Errors (50000): 7.10745924813225e-6
Errors (55000): 4.517445568764766e-6
Errors (60000): 2.950812998838758e-6
Errors (65000): 1.989010710715709e-6
Errors (70000): 1.3871408618728758e-6
Errors (75000): 1.0014717867644652e-6
Errors (80000): 7.472901933023781e-7
Errors (85000): 5.743781352325371e-7
Errors (90000): 4.5273279405379525e-7
Errors (95000): 3.642402517151429e-7
Errors (100000): 2.978132479962102e-7

WOB: 30000.0, Incl: 30.0
Force on bit: -13164.32063
New dalpha: -0.5
Errors (1): 14.091769343664817
Errors (100): 0.11010728895676697
Errors (1000): 0.01007631378804533
Errors (5000): 0.0007592193663265783
Errors (10000): 0.00045169230186982125
Errors (15000): 0.00027515216962426025
Errors (20000): 0.0001621843127711546
Errors (25000): 9.536232839937319e-5
Errors (30000): 5.629445691980764e-5
Errors (35000): 3.345517481566811e-5
Errors (40000): 2.0084368711170417e-5
Errors (45000): 1.2238882637726364e-5
Errors (50000): 7.611574050378682e-6
Errors (55000): 4.849540450282133e-6
Errors (60000): 3.1797467651885944e-6
Errors (65000): 2.154709486168405e-6
Errors (70000): 1.5128721429861106e-6
Errors (75000): 1.1009150505598897e-6
Errors (80000): 8.286045857379401e-7
Errors (85000): 6.425390474245876e-7
Errors (90000): 5.10872203920961e-7
Errors (95000): 4.144140773618474e-7
Errors (100000): 3.41440966540833e-7

WOB: 30000.0, Incl: 30.0
Force on bit: -11913.9163
New dalpha: -5.264025529246211
Errors (1): 16.526734939481223
Errors (100): 0.11510710715446511
Errors (1000): 0.013508601508124995
Errors (5000): 0.003339654029419308
Errors (10000): 0.002575732999323954
Errors (15000): 0.0020881147176040164
Errors (20000): 0.0017068367192337767
Errors (25000): 0.001419575172637685
Errors (30000): 0.0012963894094658007
Errors (35000): 0.0012198600916622803
Errors (40000): 0.0011500471468797674
Errors (45000): 0.0010904146132815504
Errors (50000): 0.0010350734641607377
Errors (55000): 0.0009819790631180442
Errors (60000): 0.0009312929454003888
Errors (65000): 0.0008734136441797694
Errors (70000): 0.0008224908761577333
Errors (75000): 0.0007751665868074357
Errors (80000): 0.0007310655353980761
Errors (85000): 0.0007102226943854788
Errors (90000): 0.0006824806966548195
Errors (95000): 0.0006543064246120985
Errors (100000): 0.0006268140962984089

WOB: 30000.0, Incl: 30.0
Force on bit: 15.99028
New dalpha: -5.257640055761656
Errors (1): 16.52500289433562
Errors (100): 0.11509514750266767
Errors (1000): 0.013468496581369708
Errors (5000): 0.0033323952236009266
Errors (10000): 0.0025681033007321323
Errors (15000): 0.0020815436980717718
Errors (20000): 0.001701154233292046
Errors (25000): 0.0014138132944420366
Errors (30000): 0.0012875094894219305
Errors (35000): 0.0012112958514765794
Errors (40000): 0.0011421093271294746
Errors (45000): 0.0010821328415797009
Errors (50000): 0.0010275157234090708
Errors (55000): 0.0009749200428709269
Errors (60000): 0.000924692823961855
Errors (65000): 0.0008681232306789984
Errors (70000): 0.0008174374790201058
Errors (75000): 0.0007703718032204915
Errors (80000): 0.0007265190142920478
Errors (85000): 0.0007033704387622963
Errors (90000): 0.0006764361998526969
Errors (95000): 0.0006486762996269216
Errors (100000): 0.0006214927364284064
