depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.99999999999994,0.0,4.5,4.5,20.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,-0.00021,0.0,-482.7694,0.0,-19517.2306,0.0
253.74999999999997,11.25,4.5,3.5,20.348608845143733,59.99999999999999,-0.41069448659016156,0.0,-0.8933,-0.0,-0.0028,-0.0,-0.0,-963.38272,0.0,-18553.84788,0.0
242.49999999999997,22.5,4.5,3.5,20.69721769028747,59.99999999999999,-1.6427627426683287,0.0,-1.0,-0.0,-0.0054,109.6765,0.0,-961.19099,0.0,-17592.65689,0.0
231.24999999999997,33.75,4.5,3.5,21.045826535431203,59.99999999999999,-3.6961591577203556,0.0,-0.5589,-0.0,-0.008,-0.0,-0.0,-958.96367,0.0,-16633.69322,0.0
219.99999999999997,45.0,4.5,4.5,21.39443538057494,59.99999999999999,-6.570807716098743,0.0,0.0,0.0,-0.0103,1450.75329,-0.0,-903.5508,0.0,-15730.14242,0.0
209.99999999999997,55.0,4.5,3.5,21.70430990959159,59.99999999999999,-9.815410725444702,0.0,0.2146,0.0,-0.0123,-0.0,-0.0,-848.58641,0.0,-14881.55601,0.0
199.99999999999997,65.0,4.5,3.5,22.014184438608243,59.99999999999999,-13.708725539335981,0.0,0.2001,0.0,-0.0142,-0.0,-0.0,-846.74725,0.0,-14034.80876,0.0
189.99999999999997,75.0,4.5,4.5,22.324058967624893,60.00000000000001,-18.25063827842827,1.005440409429637e-14,0.0,0.0,-0.016,1093.62841,0.0,-965.58094,0.0,-13069.22781,0.0
177.1428571428571,87.85714285714285,4.5,3.5,22.72246907636059,59.99999999999999,-25.043071645891303,2.3177342045777587e-14,-0.5101,-0.0,-0.0182,-0.0,-0.0,-1083.1507,0.0,-11986.07711,0.0
164.28571428571425,100.71428571428571,4.5,3.5,23.120879185096285,59.99999999999999,-32.90712820290596,2.3177342045777587e-14,-0.8944,-0.0,-0.0201,-0.0,-0.0,-1079.97046,0.0,-10906.10665,0.0
151.42857142857142,113.57142857142856,4.5,3.5,23.519289293831978,59.99999999999999,-41.84242770727433,2.3177342045777587e-14,-1.0,-0.0,-0.0219,964.27005,0.0,-1076.73801,0.0,-9829.36864,0.0
138.57142857142856,126.4285714285714,4.5,3.5,23.917699402567674,59.99999999999999,-51.848538120149975,2.3177342045777587e-14,-1.0,0.0,-0.0235,462.02967,-0.0,-1073.45349,0.0,-8755.91515,0.0
125.71428571428571,139.28571428571425,4.5,3.5,24.31610951130337,59.99999999999999,-62.924975626928,2.3177342045777587e-14,-0.7978,0.0,-0.0249,-0.0,-0.0,-1070.11707,0.0,-7685.79808,0.0
112.85714285714285,152.1428571428571,4.5,3.5,24.714519620039063,59.99999999999999,-75.07120466063823,2.3177342045777587e-14,-0.3266,0.0,-0.0262,-0.0,-0.0,-1066.72891,0.0,-6619.06918,0.0
100.0,164.99999999999997,4.5,4.5,25.11292972877476,59.99999999999999,-88.28663792784114,2.3177342045777587e-14,0.0,0.0,-0.0273,2363.96455,-0.0,-1048.52126,0.0,-5570.54792,0.0
87.5,177.49999999999997,4.5,3.5,25.500272890045572,59.99999999999999,-102.15943425387935,2.3177342045777587e-14,-0.3537,-0.0,-0.0282,-0.0,-0.0,-1030.45413,0.0,-4540.09378,0.0
75.0,189.99999999999997,4.5,3.5,25.88761605131639,59.99999999999999,-117.04162167928712,2.3177342045777587e-14,-0.8183,-0.0,-0.0289,-0.0,-0.0,-1027.10782,0.0,-3512.98597,0.0
62.5,202.49999999999997,4.5,3.5,26.274959212587202,59.99999999999999,-132.93252004320522,2.3177342045777587e-14,-1.0,-0.0,-0.0294,560.45625,0.0,-1023.71456,0.0,-2489.2714,0.0
50.0,214.99999999999997,4.5,3.5,26.66230237385802,59.99999999999999,-149.8314030836417,2.3177342045777587e-14,-1.0,-0.0,-0.0298,889.09432,0.0,-1020.27452,0.0,-1468.99689,0.0
37.5,227.49999999999997,4.5,3.5,27.049645535128832,59.99999999999999,-167.7374984706642,2.3177342045777587e-14,-1.0,-0.0,-0.0301,671.19982,0.0,-1016.78784,0.0,-452.20904,0.0
25.0,239.99999999999997,4.5,3.5,27.43698869639965,59.99999999999999,-186.64998784169768,2.3177342045777587e-14,-1.0,0.0,-0.0301,251.83925,-0.0,-1013.2547,0.0,561.04565,0.0
12.5,252.49999999999997,4.5,3.5,27.82433185767046,59.99999999999999,-206.56800683892618,2.3177342045777587e-14,-1.0,0.0,-0.0301,2266.10224,-0.0,-1009.67525,0.0,1570.7209,0.0
0.0,264.99999999999994,4.5,3.5,28.211675018941275,59.99999999999999,-227.4906451487965,2.3177342045777587e-14,-1.0,0.0,-0.0298,-917.00363,-0.0,1570.7209,0.0,2073.74572,0.0
